2601 2	
	 -2.410429146 -3.374600804
	 -2.24973387 -3.374600804
	 -2.089038593 -3.374600804
	 -1.928343317 -3.374600804
	 -1.76764804 -3.374600804
	 -1.606952764 -3.374600804
	 -1.446257488 -3.374600804
	 -1.285562211 -3.374600804
	 -1.124866935 -3.374600804
	 -0.9641716584 -3.374600804
	 -0.803476382 -3.374600804
	 -0.6427811056 -3.374600804
	 -0.4820858292 -3.374600804
	 -0.3213905528 -3.374600804
	 -0.1606952764 -3.374600804
	   0 -3.374600804
	 0.1606952764 -3.374600804
	 0.3213905528 -3.374600804
	 0.4820858292 -3.374600804
	 0.6427811056 -3.374600804
	 0.803476382 -3.374600804
	 0.9641716584 -3.374600804
	 1.124866935 -3.374600804
	 1.285562211 -3.374600804
	 1.446257488 -3.374600804
	 1.606952764 -3.374600804
	 1.76764804 -3.374600804
	 1.928343317 -3.374600804
	 2.089038593 -3.374600804
	 2.24973387 -3.374600804
	 2.410429146 -3.374600804
	 2.571124422 -3.374600804
	 2.731819699 -3.374600804
	 2.892514975 -3.374600804
	 3.053210252 -3.374600804
	 3.213905528 -3.374600804
	 3.374600804 -3.374600804
	 3.535296081 -3.374600804
	 3.695991357 -3.374600804
	 3.856686634 -3.374600804
	 4.01738191 -3.374600804
	 -4.01738191 -3.213905528
	 -3.856686634 -3.213905528
	 -3.695991357 -3.213905528
	 -3.535296081 -3.213905528
	 -3.374600804 -3.213905528
	 -3.213905528 -3.213905528
	 -3.053210252 -3.213905528
	 -2.892514975 -3.213905528
	 -2.731819699 -3.213905528
	 -2.571124422 -3.213905528
	 -2.410429146 -3.213905528
	 -2.24973387 -3.213905528
	 -2.089038593 -3.213905528
	 -1.928343317 -3.213905528
	 -1.76764804 -3.213905528
	 -1.606952764 -3.213905528
	 -1.446257488 -3.213905528
	 -1.285562211 -3.213905528
	 -1.124866935 -3.213905528
	 -0.9641716584 -3.213905528
	 -0.803476382 -3.213905528
	 -0.6427811056 -3.213905528
	 -0.4820858292 -3.213905528
	 -0.3213905528 -3.213905528
	 -0.1606952764 -3.213905528
	   0 -3.213905528
	 0.1606952764 -3.213905528
	 0.3213905528 -3.213905528
	 0.4820858292 -3.213905528
	 0.6427811056 -3.213905528
	 0.803476382 -3.213905528
	 0.9641716584 -3.213905528
	 1.124866935 -3.213905528
	 1.285562211 -3.213905528
	 1.446257488 -3.213905528
	 1.606952764 -3.213905528
	 1.76764804 -3.213905528
	 1.928343317 -3.213905528
	 2.089038593 -3.213905528
	 2.24973387 -3.213905528
	 2.410429146 -3.213905528
	 2.571124422 -3.213905528
	 2.731819699 -3.213905528
	 2.892514975 -3.213905528
	 3.053210252 -3.213905528
	 3.213905528 -3.213905528
	 3.374600804 -3.213905528
	 3.535296081 -3.213905528
	 3.695991357 -3.213905528
	 3.856686634 -3.213905528
	 4.01738191 -3.213905528
	 -4.01738191 -3.053210252
	 -3.856686634 -3.053210252
	 -3.695991357 -3.053210252
	 -3.535296081 -3.053210252
	 -3.374600804 -3.053210252
	 -3.213905528 -3.053210252
	 -3.053210252 -3.053210252
	 -2.892514975 -3.053210252
	 -2.731819699 -3.053210252
	 -2.571124422 -3.053210252
	 -2.410429146 -3.053210252
	 -2.24973387 -3.053210252
	 -2.089038593 -3.053210252
	 -1.928343317 -3.053210252
	 -1.76764804 -3.053210252
	 -1.606952764 -3.053210252
	 -1.446257488 -3.053210252
	 -1.285562211 -3.053210252
	 -1.124866935 -3.053210252
	 -0.9641716584 -3.053210252
	 -0.803476382 -3.053210252
	 -0.6427811056 -3.053210252
	 -0.4820858292 -3.053210252
	 -0.3213905528 -3.053210252
	 -0.1606952764 -3.053210252
	   0 -3.053210252
	 0.1606952764 -3.053210252
	 0.3213905528 -3.053210252
	 0.4820858292 -3.053210252
	 0.6427811056 -3.053210252
	 0.803476382 -3.053210252
	 0.9641716584 -3.053210252
	 1.124866935 -3.053210252
	 1.285562211 -3.053210252
	 1.446257488 -3.053210252
	 1.606952764 -3.053210252
	 1.76764804 -3.053210252
	 1.928343317 -3.053210252
	 2.089038593 -3.053210252
	 2.24973387 -3.053210252
	 2.410429146 -3.053210252
	 2.571124422 -3.053210252
	 2.731819699 -3.053210252
	 2.892514975 -3.053210252
	 3.053210252 -3.053210252
	 3.213905528 -3.053210252
	 3.374600804 -3.053210252
	 3.535296081 -3.053210252
	 3.695991357 -3.053210252
	 3.856686634 -3.053210252
	 4.01738191 -3.053210252
	 -4.01738191 -2.892514975
	 -3.856686634 -2.892514975
	 -3.695991357 -2.892514975
	 -3.535296081 -2.892514975
	 -3.374600804 -2.892514975
	 -3.213905528 -2.892514975
	 -3.053210252 -2.892514975
	 -2.892514975 -2.892514975
	 -2.731819699 -2.892514975
	 -2.571124422 -2.892514975
	 -2.410429146 -2.892514975
	 -2.24973387 -2.892514975
	 -2.089038593 -2.892514975
	 -1.928343317 -2.892514975
	 -1.76764804 -2.892514975
	 -1.606952764 -2.892514975
	 -1.446257488 -2.892514975
	 -1.285562211 -2.892514975
	 -1.124866935 -2.892514975
	 -0.9641716584 -2.892514975
	 -0.803476382 -2.892514975
	 -0.6427811056 -2.892514975
	 -0.4820858292 -2.892514975
	 -0.3213905528 -2.892514975
	 -0.1606952764 -2.892514975
	   0 -2.892514975
	 0.1606952764 -2.892514975
	 0.3213905528 -2.892514975
	 0.4820858292 -2.892514975
	 0.6427811056 -2.892514975
	 0.803476382 -2.892514975
	 0.9641716584 -2.892514975
	 1.124866935 -2.892514975
	 1.285562211 -2.892514975
	 1.446257488 -2.892514975
	 1.606952764 -2.892514975
	 1.76764804 -2.892514975
	 1.928343317 -2.892514975
	 2.089038593 -2.892514975
	 2.24973387 -2.892514975
	 2.410429146 -2.892514975
	 2.571124422 -2.892514975
	 2.731819699 -2.892514975
	 2.892514975 -2.892514975
	 3.053210252 -2.892514975
	 3.213905528 -2.892514975
	 3.374600804 -2.892514975
	 3.535296081 -2.892514975
	 3.695991357 -2.892514975
	 3.856686634 -2.892514975
	 4.01738191 -2.892514975
	 -4.01738191 -2.731819699
	 -3.856686634 -2.731819699
	 -3.695991357 -2.731819699
	 -3.535296081 -2.731819699
	 -3.374600804 -2.731819699
	 -3.213905528 -2.731819699
	 -3.053210252 -2.731819699
	 -2.892514975 -2.731819699
	 -2.731819699 -2.731819699
	 -2.571124422 -2.731819699
	 -2.410429146 -2.731819699
	 -2.24973387 -2.731819699
	 -2.089038593 -2.731819699
	 -1.928343317 -2.731819699
	 -1.76764804 -2.731819699
	 -1.606952764 -2.731819699
	 -1.446257488 -2.731819699
	 -1.285562211 -2.731819699
